subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
gawain	have	rn	0.0789	0.8586	0.0128
gawain	have	rp	0.0789	0.8558	0.0153
gawain	have	hq	0.0789	0.8088	0.0058
gawain	have	rr	0.0789	0.8794	0.0113
sir gawain	have	fog	0.0789	0.8896	0.086
sir gawain	have	fqdn	0.0789	0.9043	0.066
sir gawain	have	fps	0.0789	0.9337	0.0759
sir gawain	have	fnaf	0.0789	0.9043	0.0996
sir gawain	have	fjords	0.0789	0.9159	0.2487
sir gawain	have	fit	0.0789	0.8673	0.053
gawain	have	pj	0.0789	0.8737	0.0063
gawain	have	rf	0.0789	0.9616	0.0131
gawain	have	rd	0.0789	0.8521	0.014
gawain	have	rc	0.0789	0.8797	0.0097
gawain	have	rb	0.0789	0.95	0.0123
gawain	have	fy	0.0789	0.8487	0.0106
gawain	have	ft	0.0789	0.8769	0.0087
gawain	have	ff	0.0789	0.8951	0.0105
gawain	have	fd	0.0789	0.8306	0.0093
gawain	have	bc	0.0789	0.8906	0.0051
gawain	have	az	0.0789	0.8857	0.0047
gawain	have	ak	0.0789	0.91	0.0056
gawain	have	aa	0.0789	0.777	0.0052
genital wart	has_property	rna	0.0789	1.0	0.0005
genital wart	has_property	hit	0.0789	0.8342	0.0009
genital wart	has_property	pay	0.0789	0.9156	0.0005
genital wart	has_property	pie	0.0789	0.9097	0.0018
genital wart	has_property	tnt	0.0789	0.8881	0.0002
genital wart	has_property	ft	0.0789	0.9474	0.0003
apartment	ask for	driver 's license	0.0789	0.8934	0.1296
nipple	be sensitive before	period	0.0789	0.8622	0.4427
car	eat	oil	0.0789	0.8536	0.0401
picture	upload on	tinder	0.0789	0.7863	0.2164
essential oil	melt	plastic	0.0789	0.7902	0.0712
drink alcohol	burn	calories	0.0789	0.9571	0.0073
beau	have	ir	0.0789	0.8868	0.0113
grassland	has_property	iowa	0.0789	0.9524	0.0007
whippet	have	long necks	0.0789	0.9209	0.0138
cheese	has_property	blue walkers	0.0789	0.8128	0.6822
cyst	produce	estrogen	0.0789	0.8663	0.0291
bad food	has_property	car	0.0789	0.9435	0.0004
anorexia	has_property	wrong	0.0789	0.9132	0.0003
sex	affect	periods	0.0789	0.8938	0.0353
bed bug	pay	ltd	0.0789	0.9125	0.0026
apple	has_property	enemy	0.0789	0.9494	0.0008
apple	has_property	belts	0.0789	0.9536	0.0002
shaker	can	help	0.0789	0.9062	0.0003
mutagen	affect briefly	chromosomes	0.0789	0.8659	1.0
ny	be called	big apple city	0.0789	0.9172	0.641
law firm	has_property	only	0.0789	0.8841	0.006
stoner	look	tired	0.0789	0.8463	0.1601
tennessee	have	the highest sales tax	0.0789	0.8656	1.0
realtor	post	coming soon signs	0.0789	0.7335	1.0
type	shown in	method	0.0789	0.7478	1.0
static stretches	be good for	cool down	0.0789	0.8876	0.4494
pillow	turn	yellow reedit	0.0789	0.9492	1.0
sauce	gain	weight	0.0789	0.9232	0.0014
cow	can eat	cellulose	0.0789	0.8517	0.2803
junk food	can	avoided	0.0789	0.9535	0.0092
phish	has_property	ex	0.0789	0.9356	0.0013
night owl	has_property	matt	0.0789	0.8932	0.0003
hypertension	turn	yellow	0.0789	0.8893	0.0002
copper	can	diet	0.0789	0.9067	0.0068
cache	run	corn	0.0789	0.7967	0.1268
gape	has_movement	hang	0.0789	0.8531	0.0048
loop	has_property	had	0.0789	0.9429	0.0004
burglar	use	bleach	0.0789	0.8529	0.0358
root	go	downward	0.0789	0.8154	1.0
plane	can	go faster	0.0789	0.9137	0.1522
shower	gain	weight	0.0789	0.9232	0.0014
aleve	can	burn	0.0789	0.8534	0.0005
bison	can	communicate	0.0789	0.8904	0.0008
panda	need	nannies	0.0789	0.6597	1.0
reprisal	can	quest	0.0789	0.789	0.0014
brit	prefer	manual cars	0.0789	0.8579	1.0
forehead	has_time	yet	0.0789	0.9117	0.0003
coyote	be important to	environment	0.0789	0.9784	0.0029
cyclist	crouch	down in order	0.0789	0.8888	1.0
graph	contain	asymptotic	0.0789	0.7851	1.0
hot sauce	gain	weight	0.0789	0.9232	0.0014
light intensity	affect	photosynthesis outfield	0.0789	0.8544	0.605
desert	can	change	0.0789	0.8907	0.0007
absorber	has_property	growing	0.0789	0.8281	0.0037
heparin	has_property	function	0.0789	0.9352	0.0023
nucleolus	has_property	absorbed	0.0789	0.8806	0.003
dog tag	lay	eggs	0.0789	0.9494	0.0004
drug addict	drink	chocolate milk	0.0789	0.9365	0.0598
algeries	gain	weight	0.0789	0.9232	0.0014
dracula	be presented as	powerful	0.0789	0.8293	1.0
sinus headache	turn	yellow	0.0789	0.8893	0.0002
black stork	kill	babies	0.0789	0.9039	0.0071
pinto bean	has_property	da	0.0789	0.8822	0.0005
unemployment	has_property	low in uk	0.0789	0.935	0.0887
console	has_color	blue	0.0789	0.9415	0.0001
sd	has_property	ipa	0.0789	0.7771	0.0007
shia	pray	3 times day	0.0789	0.9444	1.0
enema	has_property	painful	0.0789	0.9073	0.0004
water level	turn	yellow	0.0789	0.8893	0.0002
pregnancy test	gain	weight	0.0789	0.9232	0.0014
bird	migrate	videos	0.0789	0.7491	1.0
stud	has_movement	ahead	0.0789	0.8973	0.0001
fruit tree	leave	curl	0.0789	0.8019	0.021
ge	has_property	eqz	0.0789	1.0	1.0
sick	has_property	necessary	0.0789	0.9168	0.0002
agriculture	thrive	in the great plains	0.0789	0.8813	1.0
pilaw	gain	weight	0.0789	0.9232	0.0014
corm	can	book	0.0789	0.8553	0.0008
corm	can	iron	0.0789	0.9082	0.0006
sore throat	avoid	pregnancy	0.0789	0.8921	0.0151
clip	has_property	add	0.0789	0.8706	0.004
dress	need	lining	0.0789	0.8201	1.0
psalm	can	quiet	0.0789	0.7707	0.0004
eczema	can	slow	0.0789	0.8022	0.0005
eczema	can	rhyme	0.0789	0.8554	0.0003
laundry	can	stand	0.0789	0.8507	0.014
monocot	attack	humans	0.0789	0.9146	0.0027
malignant melanoma	occur	usually	0.0789	0.922	0.0093
radish	has_movement	slow	0.0789	0.9157	0.0002
carbon dioxide	be considered	inorganic molecule	0.0789	0.8837	1.0
sneezing	can	make	0.0789	0.8948	0.0013
autoimmune disease	has_property	hbai	0.0789	1.0	0.2552
autoimmune disease	has_property	rhythmic	0.0789	0.7872	0.0026
autoimmune disease	has_property	arsed	0.0789	0.6911	0.0403
autoimmune disease	has_property	pc	0.0789	0.9511	0.0003
autoimmune disease	has_property	tlc	0.0789	0.9135	0.0001
autoimmune disease	has_property	rio	0.0789	0.8037	0.0159
autoimmune disease	has_property	reba	0.0789	1.0	0.0022
autoimmune disease	has_property	rda	0.0789	0.932	0.0027
autoimmune disease	has_property	cog	0.0789	0.8836	0.0092
autoimmune disease	has_property	nod	0.0789	0.8359	0.0006
autoimmune disease	has_property	ionic	0.0789	0.8997	0.0004
autoimmune disease	has_property	immunology	0.0789	0.7451	0.6714
autoimmune disease	has_property	hg	0.0789	0.7931	0.0006
autoimmune disease	has_property	hwy	0.0789	0.8577	0.0021
autoimmune disease	has_property	hungry	0.0789	0.8365	0.0014
autoimmune disease	has_property	hog	0.0789	0.8259	0.0257
autoimmune disease	has_property	hjc	0.0789	1.0	0.0016
autoimmune disease	has_property	higher	0.0789	0.9165	0.0032
autoimmune disease	has_property	hgt	0.0789	1.0	0.0023
autoimmune disease	has_property	hal	0.0789	0.8085	0.0065
autoimmune disease	has_property	hbai	0.0789	1.0	0.2552
autoimmune disease	has_property	cycle	0.0789	0.8891	0.0008
autoimmune disease	has_property	cpa	0.0789	0.8235	0.0028
autoimmune disease	has_property	nitrate	0.0789	0.8594	0.0085
autoimmune disease	has_trait	amiable	0.0789	0.7763	0.0057
autoimmune disease	has_trait	critical	0.0789	0.8847	0.0159
autoimmune disease	has_property	annual	0.0789	0.8401	0.0244
autoimmune disease	has_property	aggression	0.0789	0.7841	0.0233
autoimmune disease	has_property	aug	0.0789	0.7635	0.0224
autoimmune disease	has_property	aka	0.0789	0.9174	0.0006
autoimmune disease	has_property	aug	0.0789	0.7635	0.0224
autoimmune disease	has_property	aggression	0.0789	0.7841	0.0233
autoimmune disease	has_property	annual	0.0789	0.8401	0.0244
autoimmune disease	has_trait	critical	0.0789	0.8847	0.0159
autoimmune disease	has_trait	amiable	0.0789	0.7763	0.0057
autoimmune disease	has_property	arsed	0.0789	0.6911	0.0403
autoimmune disease	has_property	pc	0.0789	0.9511	0.0003
autoimmune disease	has_property	tlc	0.0789	0.9135	0.0001
autoimmune disease	has_property	rio	0.0789	0.8037	0.0159
autoimmune disease	has_property	reba	0.0789	1.0	0.0022
autoimmune disease	has_property	rda	0.0789	0.932	0.0027
cristal	run	escape	0.0789	0.9177	0.0164
double-breasted suit	has_property	snap deal	0.0789	0.914	0.0494
nitro brew	come in	grade	0.0789	0.8741	0.2967
cation	pick up	lines	0.0789	0.8642	0.0207
cutting	has_property	veto	0.0789	0.9493	0.0003
cutting	has_property	jewelers	0.0789	0.8234	0.0355
hedgehog	has_property	dying	0.0789	0.8486	0.0003
sperm cell	has_property	del	0.0789	0.8674	0.0004
warsaw	has_property	university of technology quota	0.0789	0.9205	0.6129
lamp	can	zero	0.0789	0.9104	0.0003
lamp	can	quiet	0.0789	0.7707	0.0004
reducer	be called	reducers	0.0789	0.7205	1.0
masseur	gain	weight	0.0789	0.9232	0.0014
small arm	turn	yellow	0.0789	0.8893	0.0002
organism	compete	asiatic factors	0.0789	0.7285	1.0
toyota	can improve	quality	0.0789	0.9293	0.0666
the flood	happened	in gilgamesh	0.0789	0.8318	0.5197
pony	lay	eggs	0.0789	0.9494	0.0004
pain	can	oil	0.0789	0.8756	0.0005
nail	be attracted to	magnet	0.0789	0.8741	0.0545
stress mark	gain	weight	0.0789	0.9232	0.0014
birth control pill	turn	yellow	0.0789	0.8893	0.0002
tea bag	gain	weight	0.0789	0.9232	0.0014
coca cola	have	text	0.0789	0.8718	0.0319
coca cola	have	yt	0.0789	0.7938	0.0553
coca cola	have	ry	0.0789	0.8659	0.0148
coca cola	have	pig	0.0789	0.8747	0.1946
coca cola	have	ox	0.0789	0.8989	0.0186
coca cola	have	gt	0.0789	0.8857	0.0109
coca cola	have	az	0.0789	0.8857	0.0047
difference	be between	alligator	0.0789	0.8933	1.0
release	has_property	available	0.0789	0.928	0.0002
spa	get	foamy	0.0789	0.8568	0.0215
astrologer	celebrate	easter	0.0789	0.9057	0.0018
river dolphin	has_property	weigh	0.0789	0.8485	0.048
greenhouse emission	avoid	pollution	0.0789	0.8153	1.0
scoria	has_place	out	0.0789	0.9423	0.0002
pressure group	take	place	0.0789	0.9513	0.0009
earlobe	keep	growing	0.0789	0.9129	0.0077
microbe	can	good	0.0789	0.9052	0.011
site	want	cookies	0.0789	0.9369	1.0
elf	leave	riven dell	0.0789	0.6304	1.0
germany	attack	player	0.0789	0.767	1.0
solar panel	has_property	applied	0.0789	0.8738	0.0021
accountant	prepare	bank reconciliation statement	0.0789	0.7014	0.4941
water pill	has_property	spironolactone	0.0789	0.7645	0.4894
store	have	black friday sales	0.0789	0.8083	0.7302
william shakespeare	have	oil change	0.0789	0.9237	0.4975
plant food	has_property	hi	0.0789	0.7946	0.0018
john	write	memorial epic	0.0789	0.7038	1.0
ecuador	have	gb	0.0789	0.9198	0.0073
ecuador	have	ak	0.0789	0.91	0.0056
ecuador	have	aa	0.0789	0.777	0.0052
ecuador	have	iv	0.0789	0.8991	0.0096
ecuador	have	tx	0.0789	0.8777	0.0083
ecuador	have	tn	0.0789	0.877	0.0043
ecuador	have	tm	0.0789	0.8649	0.0049
ecuador	have	tl	0.0789	0.8511	0.0063
ecuador	have	tc	0.0789	0.9015	0.0046
ecuador	have	tb	0.0789	0.8847	0.0045
ecuador	have	ix	0.0789	0.9234	0.0065
ecuador	have	io	0.0789	0.8473	0.0076
ecuador	have	ie	0.0789	0.8015	0.0119
ecuador	have	ia	0.0789	0.8513	0.0069
ecuador	have	gt	0.0789	0.8857	0.0109
ecuador	have	gm	0.0789	0.8991	0.0116
sodium	has_place	away	0.0789	0.8939	0.0002
predation	has_property	from	0.0789	0.9562	0.0026
chocolate	pay	ltd	0.0789	0.9125	0.0026
bottom	eat	oatmeal	0.0789	0.8365	0.0475
hawaiian	remove	shoes	0.0789	0.7515	0.1082
fighter	fight at	certain weights	0.0789	0.749	1.0
